process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
short-term memory,satsa,fev,fig_mem,Women,409," .10( .08), $p$=.25  ",0.096,0.084,0.251," .00( .00), $p$=.29  ",0,0,0.295," .03( .03), $p$=.21  ",0.034,0.027,0.21
short-term memory,satsa,fev,fig_mem,Men,298," .40( .17), $p$=.02 *",0.4,0.174,0.022," .00( .00), $p$=.89  ",0,0.001,0.894," .01( .04), $p$=.82  ",0.008,0.038,0.824
short-term memory,map,fev,logic_im,Women,935," .05( .05), $p$=.33  ",0.048,0.049,0.327,"-.00( .00), $p$=.80  ",-0.001,0.003,0.803," .00( .01), $p$=.91  ",0.001,0.01,0.909
short-term memory,map,fev,logic_im,Men,321," .16( .11), $p$=.14  ",0.161,0.11,0.14," .00( .01), $p$=.90  ",0.001,0.006,0.905,"-.01( .02), $p$=.78  ",-0.007,0.024,0.781
short-term memory,map,fev100,logic_im,Women,935,"4.81(4.87), $p$=.32  ",4.806,4.865,0.323,"-.07( .26), $p$=.77  ",-0.074,0.259,0.774," .11( .97), $p$=.91  ",0.113,0.975,0.908
short-term memory,map,fev100,logic_im,Men,321,"16.14(10.81), $p$=.14  ",16.141,10.806,0.135," .07( .29), $p$=.82  ",0.068,0.291,0.816,"-.68(2.31), $p$=.77  ",-0.678,2.309,0.769
short-term memory,octo,pef,prose_im,Women,268,"27.30(17.51), $p$=.12  ",27.298,17.511,0.119,"-.09( .56), $p$=.87  ",-0.092,0.564,0.871,"7.16(5.99), $p$=.23  ",7.157,5.987,0.232
short-term memory,octo,pef,prose_im,Men,136,"63.89(39.91), $p$=.11  ",63.89,39.909,0.109,"-.17( .42), $p$=.69  ",-0.171,0.425,0.687,"11.87(16.64), $p$=.48  ",11.872,16.644,0.476
short-term memory,eas,pef,word_im,Women,545,"78.74(26.90), $p$<.01 **",78.743,26.902,0.003,"3.12(2.14), $p$=.14  ",3.116,2.136,0.145,"-5.33(6.52), $p$=.41  ",-5.334,6.517,0.413
short-term memory,eas,pef,word_im,Men,324,"31.41(55.06), $p$=.57  ",31.415,55.059,0.568,"3.54(3.81), $p$=.35  ",3.542,3.811,0.353,"6.38(15.70), $p$=.68  ",6.383,15.699,0.684
short-term memory,elsa,fev100,word_im,Women,3227,"2.90(1.57), $p$=.06 .",2.901,1.569,0.065,"-.01( .02), $p$=.79  ",-0.007,0.025,0.788," .90( .97), $p$=.35  ",0.899,0.971,0.355
short-term memory,elsa,fev100,word_im,Men,2902,"3.39(2.21), $p$=.12  ",3.388,2.205,0.124,"-.02( .03), $p$=.54  ",-0.021,0.034,0.541,"2.09(1.22), $p$=.09 .",2.092,1.224,0.087
short-term memory,elsa,fev,word_im,Women,3511," .03( .02), $p$=.09 .",0.026,0.016,0.09," .00( .00), $p$=.68  ",0,0,0.684," .01( .01), $p$=.29  ",0.01,0.009,0.287
short-term memory,elsa,fev,word_im,Men,3091," .03( .02), $p$=.15  ",0.032,0.022,0.146," .00( .00), $p$=.52  ",0,0,0.523," .02( .01), $p$=.06 .",0.023,0.012,0.056
short-term memory,hrs,pef,word_im,Women,4612,"18.90(1.80), $p$<.01 ***",18.896,1.799,0," .04( .04), $p$=.30  ",0.045,0.043,0.302,"1.71( .85), $p$=.04 *",1.707,0.851,0.045
short-term memory,hrs,pef,word_im,Men,3288,"23.98(3.09), $p$<.01 ***",23.98,3.092,0," .05( .07), $p$=.47  ",0.053,0.074,0.471,"2.27(1.45), $p$=.12  ",2.266,1.448,0.118
short-term memory,lasa,pef,word_im,Women,782,"37.66(13.01), $p$<.01 **",37.665,13.005,0.004," .01( .06), $p$=.86  ",0.011,0.062,0.863,"25.45(4.52), $p$<.01 ***",25.448,4.518,0
short-term memory,lasa,pef,word_im,Men,800,"35.22(17.06), $p$=.04 *",35.222,17.06,0.039," .03( .11), $p$=.81  ",0.026,0.107,0.808,"19.63(5.39), $p$<.01 ***",19.633,5.387,0
short-term memory,map,fev,word_im,Women,935," .11( .05), $p$=.02 *",0.112,0.047,0.017,"-.01( .00), $p$=.09 .",-0.006,0.004,0.093," .01( .01), $p$=.34  ",0.011,0.012,0.34
short-term memory,map,fev,word_im,Men,321," .06( .11), $p$=.56  ",0.061,0.106,0.563," .00( .01), $p$=.53  ",0.004,0.006,0.527," .05( .03), $p$=.04 *",0.052,0.026,0.043
short-term memory,map,fev100,word_im,Women,935,---,NA,NA,NA,---,NA,NA,NA,---,NA,NA,NA
short-term memory,map,fev100,word_im,Men,321,"6.12(9.87), $p$=.54  ",6.124,9.874,0.535," .37( .42), $p$=.38  ",0.371,0.421,0.378,"5.23(2.50), $p$=.04 *",5.227,2.503,0.037
short-term memory,nas,fev,word_im,Men,1131,"1.35( .63), $p$=.03 *",1.349,0.629,0.032," .00( .00), $p$=.38  ",0.003,0.003,0.377,"-.13( .11), $p$=.23  ",-0.129,0.107,0.229
verbal comprehension,map,fev,ideas,Women,935," .02( .01), $p$<.01 **",0.023,0.007,0.002," .00( .00), $p$=.61  ",0,0,0.614," .00( .00), $p$=.46  ",0.001,0.002,0.457
verbal comprehension,map,fev,ideas,Men,321,"-.00( .02), $p$=.82  ",-0.004,0.019,0.825,"-.00( .00), $p$=.32  ",-0.002,0.002,0.321," .00( .00), $p$=.41  ",0.004,0.005,0.409
verbal comprehension,map,fev100,ideas,Women,935,"2.31( .74), $p$<.01 **",2.306,0.738,0.002,"-.02( .04), $p$=.55  ",-0.024,0.041,0.553," .14( .19), $p$=.45  ",0.141,0.186,0.447
verbal comprehension,map,fev100,ideas,Men,321,"-.42(1.88), $p$=.82  ",-0.416,1.881,0.825,"-.17( .16), $p$=.28  ",-0.171,0.16,0.285," .40( .48), $p$=.40  ",0.4,0.478,0.402
visual discrimination,map,fev,line,Women,934," .10( .03), $p$<.01 **",0.099,0.034,0.004,"-.00( .00), $p$=.70  ",-0.001,0.002,0.7,"-.01( .01), $p$=.10  ",-0.012,0.007,0.103
visual discrimination,map,fev,line,Men,321," .17( .08), $p$=.05 *",0.169,0.085,0.047," .00( .00), $p$=.60  ",0.002,0.004,0.596,"-.01( .02), $p$=.68  ",-0.007,0.017,0.677
visual discrimination,map,fev100,line,Women,934,"9.94(3.41), $p$<.01 **",9.942,3.414,0.004,"-.09( .17), $p$=.59  ",-0.091,0.168,0.589,"-1.21( .70), $p$=.08 .",-1.212,0.704,0.085
visual discrimination,map,fev100,line,Men,321,"16.94(8.26), $p$=.04 *",16.94,8.261,0.04," .24( .28), $p$=.39  ",0.236,0.276,0.394,"-.69(1.56), $p$=.66  ",-0.694,1.563,0.657
working memory,map,fev,digit_b,Women,935," .06( .02), $p$=.01 **",0.062,0.023,0.007," .00( .00), $p$=.10  ",0.003,0.002,0.104,"-.01( .01), $p$=.18  ",-0.008,0.006,0.182
working memory,map,fev,digit_b,Men,321," .13( .06), $p$=.03 *",0.134,0.061,0.027,"-.00( .00), $p$=.61  ",-0.002,0.003,0.611,"-.00( .01), $p$=.77  ",-0.003,0.011,0.77
working memory,map,fev100,digit_b,Women,935,"6.20(2.27), $p$=.01 **",6.197,2.266,0.006," .26( .12), $p$=.03 *",0.26,0.122,0.034,"-.77( .55), $p$=.17  ",-0.767,0.554,0.166
working memory,map,fev100,digit_b,Men,321,"13.41(6.04), $p$=.03 *",13.407,6.04,0.026,"-.17( .19), $p$=.37  ",-0.169,0.19,0.372,"-.33(1.05), $p$=.75  ",-0.331,1.046,0.752
working memory,nas,fev,digit_b,Men,1131," .16( .25), $p$=.52  ",0.163,0.252,0.517," .00( .00), $p$=.22  ",0.002,0.001,0.217," .05( .04), $p$=.26  ",0.048,0.043,0.265
working memory,octo,pef,digit_b,Women,276,"8.67(5.94), $p$=.14  ",8.668,5.941,0.145," .04( .12), $p$=.77  ",0.035,0.119,0.766," .81(2.51), $p$=.74  ",0.814,2.507,0.745
working memory,octo,pef,digit_b,Men,138,"29.48(12.37), $p$=.02 *",29.479,12.368,0.017," .37( .34), $p$=.28  ",0.374,0.343,0.276,"-5.41(4.73), $p$=.25  ",-5.407,4.726,0.253
working memory,satsa,fev,digit_b,Women,409," .08( .03), $p$<.01 ***",0.083,0.026,0.001," .00( .00), $p$=.17  ",0,0,0.171,"-.01( .01), $p$=.51  ",-0.008,0.013,0.51
working memory,satsa,fev,digit_b,Men,299," .09( .04), $p$=.03 *",0.089,0.041,0.031," .00( .00), $p$=.41  ",0,0,0.413,"-.01( .01), $p$=.42  ",-0.009,0.011,0.422
working memory,nas,fev,digit_b_tot,Men,1131," .22( .42), $p$=.59  ",0.223,0.417,0.593," .00( .00), $p$=.74  ",0.001,0.002,0.743," .09( .07), $p$=.19  ",0.087,0.066,0.189
working memory,map,fev,digit_o,Women,935," .06( .02), $p$<.01 ***",0.06,0.017,0," .00( .00), $p$=.69  ",0,0.001,0.694," .00( .00), $p$=.28  ",0.005,0.005,0.282
working memory,map,fev,digit_o,Men,321,"-.01( .04), $p$=.74  ",-0.014,0.044,0.742," .00( .00), $p$=.96  ",0,0.003,0.958," .00( .01), $p$=.95  ",0.001,0.013,0.947
working memory,map,fev100,digit_o,Women,935,"5.97(1.69), $p$<.01 ***",5.966,1.69,0,"-.04( .09), $p$=.63  ",-0.044,0.093,0.634," .52( .47), $p$=.27  ",0.515,0.466,0.269
working memory,map,fev100,digit_o,Men,321,"-1.43(4.23), $p$=.73  ",-1.434,4.23,0.735," .02( .15), $p$=.90  ",0.018,0.15,0.902," .08(1.15), $p$=.94  ",0.084,1.15,0.942
