process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
perceptual speed,octo,gait,psif,Men,131,"-1.62(1.48), $p$=.27  ",-1.617,1.478,0.274,"-.08( .13), $p$=.53  ",-0.081,0.129,0.527," .12( .51), $p$=.82  ",0.116,0.514,0.821
perceptual speed,eas,gait,symbol,Women,363,"46.98(24.64), $p$=.06 .",46.977,24.645,0.057,"2.53( .99), $p$=.01 **",2.528,0.987,0.01," .16(2.92), $p$=.95  ",0.165,2.915,0.955
perceptual speed,eas,gait,symbol,Men,221,"68.90(26.04), $p$=.01 **",68.903,26.043,0.008,"1.59(1.33), $p$=.23  ",1.589,1.331,0.233,"-.48(4.28), $p$=.91  ",-0.479,4.282,0.911
perceptual speed,ilse,tug,symbol,Women,225,"-1.45(2.00), $p$=.47  ",-1.447,2.005,0.471,"-.00( .02), $p$=.96  ",-0.001,0.019,0.956," .10( .58), $p$=.86  ",0.104,0.582,0.859
perceptual speed,ilse,tug,symbol,Men,252,"-2.28(1.38), $p$=.10 .",-2.282,1.382,0.099,"-.01( .02), $p$=.68  ",-0.008,0.019,0.683,"-.49( .46), $p$=.28  ",-0.49,0.455,0.281
perceptual speed,map,gait,symbol,Women,935," .27( .06), $p$<.01 ***",0.27,0.056,0," .00( .00), $p$=.59  ",0.002,0.004,0.591," .04( .02), $p$=.03 *",0.039,0.018,0.026
perceptual speed,map,gait,symbol,Men,321," .53( .09), $p$<.01 ***",0.528,0.094,0,"-.01( .01), $p$=.35  ",-0.006,0.006,0.353," .06( .03), $p$=.06 .",0.057,0.03,0.06
perceptual speed,octo,gait,symbol,Women,266,"-10.73(5.36), $p$=.04 *",-10.73,5.357,0.045,"-.27( .65), $p$=.68  ",-0.267,0.647,0.68,"-2.12(1.52), $p$=.16  ",-2.118,1.518,0.163
perceptual speed,octo,gait,symbol,Men,134,"-7.59(2.82), $p$=.01 **",-7.591,2.819,0.007," .00( .11), $p$=.99  ",0.001,0.114,0.996,"-2.51(1.15), $p$=.03 *",-2.512,1.15,0.029
semantic memory,eas,gait,bnt,Women,363,"-.88(4.93), $p$=.86  ",-0.879,4.926,0.858," .01( .32), $p$=.98  ",0.007,0.318,0.982," .49( .92), $p$=.59  ",0.492,0.917,0.592
semantic memory,eas,gait,bnt,Men,222,"6.14(6.14), $p$=.32  ",6.143,6.141,0.317,"-.00( .42), $p$=.99  ",-0.005,0.418,0.991," .29( .95), $p$=.76  ",0.289,0.947,0.76
semantic memory,map,gait,bnt,Women,935," .02( .01), $p$<.01 ***",0.025,0.007,0," .00( .00), $p$=.10 .",0.001,0.001,0.1,"-.00( .00), $p$=.69  ",-0.001,0.002,0.691
semantic memory,map,gait,bnt,Men,321," .04( .02), $p$=.01 **",0.044,0.017,0.008,"-.00( .00), $p$=.31  ",-0.001,0.001,0.309,"-.00( .00), $p$=.48  ",-0.003,0.004,0.48
semantic memory,octo,gait,information,Women,275,"-3.15(2.80), $p$=.26  ",-3.15,2.799,0.26," .02( .04), $p$=.61  ",0.022,0.043,0.609,"-.72( .51), $p$=.15  ",-0.725,0.508,0.154
semantic memory,octo,gait,information,Men,140,"-2.86(1.95), $p$=.14  ",-2.856,1.947,0.142,"-.02( .10), $p$=.83  ",-0.021,0.099,0.83,"-.90( .81), $p$=.27  ",-0.897,0.807,0.267
semantic memory,map,gait,nart,Women,933," .02( .01), $p$=.05 *",0.023,0.012,0.05," .00( .00), $p$=.65  ",0,0.001,0.647," .01( .00), $p$<.01 **",0.009,0.003,0.003
semantic memory,map,gait,nart,Men,321," .05( .02), $p$=.03 *",0.049,0.022,0.027," .00( .00), $p$=.56  ",0.001,0.001,0.565," .00( .00), $p$=.70  ",0.002,0.005,0.696
semantic memory,octo,gait,synonyms,Women,268,"-1.40(2.17), $p$=.52  ",-1.397,2.173,0.52,"-.22( .53), $p$=.68  ",-0.221,0.529,0.676,"-1.22( .69), $p$=.08 .",-1.217,0.686,0.076
semantic memory,octo,gait,synonyms,Men,134,"-.87(1.52), $p$=.57  ",-0.869,1.517,0.567,"-.02( .06), $p$=.65  ",-0.025,0.056,0.651,"-.38( .49), $p$=.44  ",-0.382,0.494,0.44
semantic memory,ilse,tug,waisgeneral,Women,225," .16( .82), $p$=.85  ",0.157,0.816,0.848," .00( .01), $p$=.95  ",0,0.006,0.949,"-.07( .24), $p$=.76  ",-0.071,0.238,0.764
semantic memory,ilse,tug,waisgeneral,Men,252,"-.41( .47), $p$=.38  ",-0.412,0.467,0.378,"-.00( .01), $p$=.80  ",-0.001,0.006,0.797,"-.20( .19), $p$=.29  ",-0.203,0.194,0.295
semantic memory,eas,gait,waisvocab,Women,363,"51.98(22.89), $p$=.02 *",51.981,22.895,0.023,"1.53(1.26), $p$=.22  ",1.527,1.256,0.224,"-.85(3.63), $p$=.81  ",-0.852,3.631,0.815
semantic memory,eas,gait,waisvocab,Men,222,"6.94(29.02), $p$=.81  ",6.943,29.021,0.811,"-.34(1.69), $p$=.84  ",-0.344,1.692,0.839,"-3.81(6.28), $p$=.54  ",-3.812,6.283,0.544
short-term memory,map,gait,bstory_im,Women,935," .01( .01), $p$=.30  ",0.011,0.01,0.301," .00( .00), $p$=.28  ",0.001,0.001,0.276," .01( .00), $p$=.16  ",0.007,0.005,0.162
