process_b_domain,study,model_number,subgroup,model_type,process_a,process_b,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
fluid reasoning,octo,b1,female,aehplus,gait,fig_logic,270,"-4.50(2.83), $p$=.11  ","-.45( .21), $p$=.04 *","(-.87,-.03)","-.45(-.54,-.35)"," .04( .17), $p$=.80  "," .15( .45), $p$=.74  ","(-.73,1.03)"," .15( .03, .27)","-.52( .65), $p$=.42  ","-.06( .07), $p$=.44  ","(-.20, .09)","-.06(-.17, .06)"
fluid reasoning,octo,b1,male,aehplus,gait,fig_logic,135,"-2.32(1.32), $p$=.08 .","-.46( .23), $p$=.05 .","(-.91, .00)","-.46(-.58,-.31)"," .00( .07), $p$=.99  "," .02(1.57), $p$=.99  ","(-3.06,3.10)"," .02(-.15, .19)","-.27( .68), $p$=.69  ","-.04( .10), $p$=.68  ","(-.22, .15)","-.04(-.21, .13)"
fluid reasoning,lasa,b1,female,aehplus,gait,raven_color_ab,782,"-.95( .42), $p$=.02 *","-.25( .15), $p$=.10  ","(-.54, .05)","-.25(-.31,-.18)","-.02( .01), $p$=.02 *","-.53( .18), $p$<.01 **","(-.88,-.18)","-.52(-.57,-.47)"," .25( .28), $p$=.37  "," .03( .04), $p$=.40  ","(-.04, .10)"," .03(-.04, .10)"
fluid reasoning,lasa,b1,male,aehplus,gait,raven_color_ab,800,"-.70( .37), $p$=.06 .","-.23( .19), $p$=.23  ","(-.61, .14)","-.23(-.30,-.16)","-.01( .01), $p$=.07 .","-.23( .16), $p$=.15  ","(-.55, .08)","-.24(-.31,-.18)"," .15( .16), $p$=.36  "," .02( .03), $p$=.38  ","(-.03, .08)"," .02(-.04, .09)"
fluid reasoning,map,b1,female,aehplus,gait,raven_standard,935," .06( .01), $p$<.01 ***"," .24( .06), $p$<.01 ***","( .14, .35)"," .25( .18, .30)"," .00( .00), $p$=.97  "," .01( .30), $p$=.97  ","(-.58, .61)"," .00(-.06, .06)"," .00( .01), $p$=.83  "," .01( .03), $p$=.83  ","(-.05, .07)"," .01(-.06, .07)"
fluid reasoning,map,b1,male,aehplus,gait,raven_standard,321," .09( .03), $p$<.01 **"," .36( .11), $p$<.01 ***","( .14, .58)"," .36( .26, .45)"," .00( .00), $p$=.36  "," .64( .64), $p$=.32  ","(-.61,1.89)"," .44( .34, .52)"," .03( .01), $p$=.01 **"," .11( .04), $p$=.01 **","( .03, .19)"," .11(-.00, .22)"
fluid reasoning,ilse,b1,female,aehplus,tug,spatial_ab,225," .17(1.13), $p$=.88  ",---,---," .03(-.10, .16)","-.00( .01), $p$=.93  ",---,---,"-.30(-.42,-.18)","-.35( .50), $p$=.48  ",---,---,"-.08(-.21, .05)"
fluid reasoning,ilse,b1,male,aehplus,tug,spatial_ab,252,"-1.18( .78), $p$=.13  ",---,---,"-.41(-.51,-.30)","-.00( .01), $p$=.85  ",---,---,"-.12(-.24, .01)"," .18( .39), $p$=.64  ",---,---," .05(-.08, .17)"
mental status,octo,b1,female,aehplus,gait,clock,276,"-.90( .55), $p$=.10  ","-.19( .14), $p$=.16  ","(-.46, .07)","-.19(-.30,-.07)","-.08( .17), $p$=.65  ","-.25( .24), $p$=.29  ","(-.71, .22)","-.25(-.35,-.13)","-1.37( .94), $p$=.14  ","-.26( .15), $p$=.07 .","(-.55, .03)","-.26(-.37,-.15)"
mental status,octo,b1,male,aehplus,gait,clock,137,"-1.16( .67), $p$=.08 .","-.41( .25), $p$=.10 .","(-.90, .08)","-.41(-.54,-.26)","-.01( .06), $p$=.89  ","-.15(1.26), $p$=.91  ","(-2.62,2.33)","-.15(-.31, .02)","-.68( .30), $p$=.02 *","-.16( .06), $p$=.01 **","(-.29,-.04)","-.17(-.32, .00)"
mental status,eas,b1,female,aehplus,gait,mmse,363,"2.69(2.33), $p$=.25  "," .14( .12), $p$=.25  ","(-.10, .38)"," .14( .04, .24)"," .02( .16), $p$=.92  "," .08( .79), $p$=.92  ","(-1.48,1.63)"," .08(-.02, .18)","-.37( .51), $p$=.47  ","-.05( .07), $p$=.47  ","(-.19, .09)","-.05(-.15, .05)"
mental status,eas,b1,male,aehplus,gait,mmse,222,"6.09(4.61), $p$=.19  "," .34( .25), $p$=.17  ","(-.15, .84)"," .34( .22, .46)","-.06( .30), $p$=.84  ","-.50(2.74), $p$=.85  ","(-5.87,4.87)","-.52(-.61,-.41)","-.25( .95), $p$=.79  ","-.03( .11), $p$=.79  ","(-.24, .18)","-.03(-.16, .10)"
mental status,map,b1,female,aehplus,gait,mmse,935," .03( .01), $p$<.01 ***"," .22( .06), $p$<.01 ***","( .10, .35)"," .23( .17, .29)"," .00( .00), $p$=.37  "," .19( .20), $p$=.36  ","(-.22, .59)"," .13( .07, .19)"," .01( .00), $p$=.01 **"," .07( .03), $p$=.01 **","( .02, .12)"," .07( .01, .14)"
mental status,map,b1,male,aehplus,gait,mmse,321," .10( .03), $p$<.01 ***"," .48( .10), $p$<.01 ***","( .29, .67)"," .49( .40, .57)"," .00( .00), $p$=.49  "," .29( .46), $p$=.53  ","(-.62,1.20)"," .22( .11, .32)"," .01( .01), $p$=.50  "," .03( .04), $p$=.50  ","(-.05, .11)"," .03(-.08, .14)"
mental status,octo,b1,female,aehplus,gait,mmse,276,"-1.33( .59), $p$=.02 *","-.27( .11), $p$=.01 *","(-.47,-.06)","-.27(-.37,-.15)","-.04( .09), $p$=.66  ","-.07( .23), $p$=.77  ","(-.52, .38)","-.07(-.18, .05)","-.06( .52), $p$=.91  ","-.01( .07), $p$=.91  ","(-.15, .14)","-.01(-.13, .11)"
mental status,octo,b1,male,aehplus,gait,mmse,140,"-1.56( .96), $p$=.10  ","-.48( .30), $p$=.11  ","(-1.07, .11)","-.48(-.60,-.34)","-.03( .04), $p$=.48  ","-.42( .61), $p$=.49  ","(-1.63, .79)","-.42(-.55,-.27)","-.84( .55), $p$=.13  ","-.12( .08), $p$=.12  ","(-.28, .03)","-.12(-.28, .04)"
perceptual speed,lasa,b1,female,aehplus,gait,letter,782,"-2.62( .98), $p$=.01 **","-.32( .12), $p$=.01 **","(-.56,-.08)","-.32(-.38,-.26)","-.02( .01), $p$=.09 .","-.24( .11), $p$=.02 *","(-.45,-.03)","-.24(-.31,-.17)","-.47( .20), $p$=.02 *","-.05( .02), $p$=.02 *","(-.09,-.01)","-.05(-.12, .02)"
